ac_type_1	,,,,AC Type - 2,Type AC - 2,Wechselstromart - 2,Tipo CA - 2,AC Type - 2,Tipo de CA - 2
something_went_wrong	,,,,Something went wrong,Quelque chose s'est mal passé,Etwas ist schief gelaufen,Qualcosa è andato storto,Bir şeyler ters gitti,Algo salió mal
sign_out,,,,Sign Out,Se déconnecter,Austragen,Disconnessione,Çıkış yap,Desconectar
no_result_found,generalTableViewNoResult,,,No Result Found,Aucun résultat trouvé,Keine Einträge gefunden,Nessun risultato trovato,Sonuç bulunamadı,No se han encontrado resultados
s_currency,,,,%s ₺,% s ₺,%s ₺,%s ₺,%s ₺,%s ₺
s_currency_letter,,,,%s TRY,% s essayez,%s versuchen,%s prova,%s TRY,%s intento
up_to_s,,,,Up to %s,Jusqu'à% s,Bis zu %s,Fino a %s,%s'e kadar,Hasta %s
between_s,,,,Between %s,Entre% s,Zwischen %s,Tra %s,%s - %s arası,Entre %s
above_s,,,,Above %s,Au-dessus de% s,Über %s,Sopra %s,%s'den fazla,Arriba %s
phone_number_format_tr,,,,(___) ___ __ __,(___) ___ __ __,(___) ___ __ __ __,(___) ___ __ __,(___) ___ __ __,(___) ___ __ __
public_label,,,,Public,Public,Öffentlich,Pubblico,Halka açık,Público
dc_ccs_available,,,,DC CCS-Available,DC CCS-disponible,DC CCS-verfügbar,DC CCS-disponibile,DC CCS-Available,DC CCS disponible
dc_cha_demo_available,,,,DC CHAdeMO-Available,DC CHADEMO disponible,DC Chademo-verfügbar,DC Chademo-disponibile,DC CHAdeMO-Available,DC Chademo-disponible
ac_type_two_available,,,,AC Type-2-Available,AC de type 2 disponible,Wechselstrom Typ-2-verfügbar,AC di tipo 2-disponibile,AC Type-2-Available,AC Tipo-2 disponible
ac_type_two_plug_available,,,,AC Type-2 Plug-Available,AC Type-2 Plug-disponible,Wechselstrom-2-Plug-2-Plug-verfügbar,AC Tipo-2 Plug-disponibile,AC Type-2 Plug-Available,AC Type-2 enchufable disponible
forgot_password,,,,Forgot password,Mot de passe oublié,Passwort vergessen,Ha dimenticato la password,Şifremi unuttum,Se te olvidó tu contraseña
please_enter_your_mobile_phone_number,,,,Please enter your mobile phone number.,Veuillez saisir votre numéro de téléphone portable.,Bitte geben Sie Ihre Handynummer ein.,Inserisci il tuo numero di cellulare.,Lütfen telefon numaranızı girin,Ingrese su número de teléfono móvil.
you_will_sign_in_to_your_app_name_account_with_your_phone_number,,,,You will sign in to your ZES account with your phone number.,Vous vous connectez à votre compte ZES avec votre numéro de téléphone.,Sie werden sich mit Ihrer Telefonnummer in Ihrem ZES -Konto anmelden.,Accedirai al tuo account Zes con il tuo numero di telefono.,ZES hesabınıza telefon numaranızla giriş yapın,Iniciará sesión en su cuenta Zes con su número de teléfono.
i_accept_the_terms_and_conditions	,,,,I accept the terms and conditions.,J'accepte les termes et conditions.,Ich akzeptiere die allgemeinen Geschäftsbedingungen.,Accetto i Termini e le Condizioni.,Koşullar ve Şartlar sözleşmesini kabul ediyorum,Acepto los términos y condiciones.
to_continue_please_read_and_accept_the_terms_and_conditions,,,,"To continue, please read and accept the terms and conditions.","Pour continuer, veuillez lire et accepter les termes et conditions.","Um fortzufahren, lesen Sie bitte die Allgemeinen Geschäftsbedingungen.","Per continuare, si prega di leggere e accettare i termini e le condizioni.",Devam etmek için koşullar ve şartlar sözleşmesini okuyup kabul edin.,"Para continuar, lea y acepte los términos y condiciones."
please_enter_the_sms_code	,,,,Please enter the SMS code.,Veuillez saisir le code SMS.,Bitte geben Sie den SMS -Code ein.,Inserisci il codice SMS.,Lütfen SMS kodunu girin,Ingrese el código SMS.
we_sent_you_an_sms_code_for_reset_your_password	,,,,We sent you an SMS code for reset your password.,Nous vous avons envoyé un code SMS pour réinitialiser votre mot de passe.,"Wir haben Ihnen einen SMS -Code gesendet, um Ihr Passwort zurückzusetzen.",Ti abbiamo inviato un codice SMS per reimpostare la tua password.,Şifrenizi sıfırlamanız için telefonunuza SMS gönderilmiştir.,Le enviamos un código SMS para restablecer su contraseña.
create_a_password,,,,Create a password.,Créer un mot de passe.,Erstellen sie ein Passwort.,Crea una password.,Şifre oluştur.,Crea una contraseña.
password_must_contain_8_16_characters_uppercase_letters_lowercase_letters_and_numbers	,,,,"Password must contain 8-16 characters; uppercase letters, lowercase letters and numbers.","Le mot de passe doit contenir 8 à 16 caractères; lettres majuscules, lettres et chiffres minuscules.","Das Passwort muss 8-16 Zeichen enthalten. Großbuchstaben, Kleinbuchstaben und Zahlen.","La password deve contenere 8-16 caratteri; Lettere maiuscole, lettere minuscole e numeri.","Şifreniz 8-16 karakter olmalı ve büyük harf, küçük harf ve rakam içermelidir.","La contraseña debe contener 8-16 caracteres; letras mayúsculas, letras minúsculas y números."
year,,,,Year,An,Jahr,Anno,Yıl,Año
month,,,,Month,Mois,Monat,Mese,Ay,Mes
card_name,,,,Card name,Nom de la carte,Kartenname,Nome della carta,Kart ismi,Nombre de tarjeta
cardholder_name,,,,Cardholder name,Nom du titulaire,Name des Karteninhabers,Nome del titolare,Kart sahibinin adı,Nombre del titular de la tarjeta
turkish_id_number,,,,Turkish Id Number*,Numéro d'identification turque *,Türkische ID -Nummer*,Numero ID turco*,TC Kimlik No*,Número de identificación turco*
i_am_not_turkish_citizen,,,,I am not Turkish citizen.,Je ne suis pas citoyen turc.,Ich bin kein türkischer Staatsbürger.,Non sono cittadino turco.,TC vatandaşı değilim,No soy ciudadano turco.
province,,,,Province,Province,Provinz,Provincia,Şehir,Provincia
you_will_reset_your_password_with_SMS_code_we_sent_your_phone_number,,,,You will reset your password with SMS code we sent your phone number.,Vous réinitialiserez votre mot de passe avec le code SMS que nous avons envoyé votre numéro de téléphone.,Sie werden Ihr Passwort mit SMS -Code zurücksetzen. Wir haben Ihre Telefonnummer gesendet.,Reimposta la password con il codice SMS abbiamo inviato il tuo numero di telefono.,Şifrenizi telefonunuza gelen kod ile değiştirebilirsiniz,Restablecerá su contraseña con el código SMS que enviamos su número de teléfono.
country_code_turkey,,,,90,90,90,90,90,90
timer_format,,,,%1$d seconds,% 1 $ d secondes,%1 $ D Sekunden,%1 $ d secondi,%1$d saniye,%1 $ d segundos
country_code_format,,,,+%1$s,+% 1 $ s,+%1 $ s,+%1 $ s,+%1$s,+%1 $ s
trade_name,,,,Trade Name *,Nom du commerce *,Handelsname *,Nome depositato *,Firma Adı*,Nombre comercial *
add_new_payment_method	,,,,Add New Payment Method,Ajouter un nouveau mode de paiement,Neue Zahlungsmethode hinzufügen,Aggiungi nuovo metodo di pagamento,Yeni Kart Ekle,Agregar nuevo método de pago
expiry_date,,,,Expiry Date,Date d'expiration,Verfallsdatum,Data di scadenza,Son kullanma tarihi,Fecha de caducidad
thank_you_for_choosing_us__if_you_enjoy_using_zes_would_you_rate_it,,,,"Thank you for choosing us.\n If you enjoy using ZES,\n would you rate it ?","Merci de nous avoir choisi. \ N Si vous aimez utiliser des zes, \ n le noteriez-vous?","Vielen Dank, dass Sie uns ausgewählt haben. \ N Wenn Sie gerne Zes verwenden, würden Sie es bewerten?","Grazie per averci scelto. \ N Se ti piace usare Zes, lo valuteresti?",Bizi tercih ettiğiniz için teşekkürler. Uygulamamızı beğeniyorsanız puan verir misiniz?,"Gracias por elegirnos. \ N Si disfrutas usando zes, ¿lo calificarías?"
district	,,,,District *,District *,Kreis *,Distretto *,İlçe,Distrito *
corporate,,,,Corporate,Corporatif,Unternehmen,Aziendale,Kurumsal,Corporativo
individual,,,,Individual,Individuel,Individuell,Individuale,Bireysel,Individual
selling_agreement,,,,Selling Agreement,Accord de vente,Verkaufsvertrag,Accordo di vendita,Satış sözleşmesi,Acuerdo de venta
enter_your_code_in	,,,,Enter your code in,Entrez votre code dans,Geben Sie Ihren Code in ein,Inserisci il tuo codice in,Kodunuzu girin,Ingrese su código en
app_name_card_user_address_format,,,,%1$s %2$s %3$s %4$s,% 1 $ s% 2 $ s% 3 $ s% 4 $ s,%1 $ S %2 $ S %3 $ S %4 $ s,%1 $ s %2 $ s %3 $ s %4 $ s,%1$s %2$s %3$s %4$s,%1 $ s %2 $ s %3 $ s %4 $ s
turkish,,,,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe
hebrew,,,,עִברִית,עִברִית,עִברִית,עִברִית,עִברִית,עִברִית
italian,,,,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano
bulgarian,,,,български,български,български,български,български,ългарски
french,languageFrench,,,Française,Française,Française,Française,Française,Française
spanish,languageSpanish,,,Española,Española,Española,Española,Española,Española
_01,,,,1,1,1,1,1,1
_02,,,,2,2,2,2,2,2
_03,,,,3,3,3,3,3,3
_12,,,,12,12,12,12,12,12
_11,,,,11,11,11,11,11,11
_10,,,,10,10,10,10,10,10
_09,,,,9,9,9,9,9,9
_08,,,,8,8,8,8,8,8
_07,,,,7,7,7,7,7,7
_06,,,,6,6,6,6,6,6
_05,,,,5,5,5,5,5,5
_04,,,,4,4,4,4,4,4
dc_ccs_offline,,,,DC CCS-Offline,DC CCS-Offline,DC CCS-Offline,DC CCS-Offline,DC CCS-Offline,DC CCS-Offline
dc_cha_demo_offline,,,,DC CHAdeMO-Offline,DC Chademo-Offline,DC Chademo-Offline,DC Chademo-offline,DC CHAdeMO-Offline,DC Chademo-Offline
ac_type_two_offline,,,,AC Type-2-Offline,AC de type-2-Offline,Wechselstrom-Typ-2-Offline,Offline di tipo 2 AC,AC Type-2-Offline,AC Tipo-2-Offline
ac_type_two_plug_offline,,,,AC Type-2 Plug-Offline,Bouchage de type 2 AC,AC-Typ-2-Plug-offline,Plug-off di tipo 2 AC,AC Type-2 Plug-Offline,AC Type-2 Plug-offline
km,,,,Km,Km,Km,Km,Km,Km
enable_location,,,,Enable Location,Location disponible,Aktiviere Standort,Abilita posizione,Konum bilgisini açın,Habilitar ubicación
location_settings,,,,Location Settings,Les paramètres de localisation,Ortseinstellungen,Impostazioni di posizione,Konum ayarları,Configuración de ubicación
already_booked,,,,Already Booked,Déjà réservé,Schon gebucht,Già prenotato,Önceden rezerve edilmiş,Ya esta reservado
your_booking_has_successfully_completed,,,,Your Booking has successfully completed,Votre réservation a réussi à terminer,Ihre Buchung wurde erfolgreich abgeschlossen,La tua prenotazione è stata completata con successo,Şarj işleminiz başarıyla tamamlandı,Tu reserva se ha completado con éxito
turkey_code,,,,90,90,90,90,90,90
guest_users_will_benefit_from_our_s_sockets_for_s,,,,Guest users will benefit from our %1$s sockets for %2$s.,Les utilisateurs invités bénéficieront de nos prises% 1 $ S pour% 2 $ s.,Gastbenutzer profitieren von unseren %1 $ S Sockets für %2 $ s.,Gli utenti ospiti trarranno beneficio dalle nostre prese %1 $ S per %2 $ s.,Misafir kullanıcılar %1$s soketlerimizi %2$s kullanabilirler,Los usuarios invitados se beneficiarán de nuestros enchufes %1 $ s por %2 $ s.
if_you_do_not_use_your_reservations_a_blockage_fee_will_be_charged,,,,"If you do not use your reservations, a <b> blockage fee </b> will be charged.","Si vous n'utilisez pas vos réservations, les frais de blocage <b> </b> seront facturés.","Wenn Sie Ihre Reservierungen nicht verwenden, wird eine <b> -Blockungsgebühr </b> berechnet.","Se non si utilizzano le prenotazioni, verrà addebitato una tassa di blocco <b> </b>.","Rezervasyonlarınızı kullanmazsanız, bir <b> tıkanma ücreti </b> tahsil edilir.","Si no usa sus reservas, se le cobrará una tarifa de bloqueo <b> </b>."
are_you_sure_you_want_to_log_out        ,,,,Are you sure you want to log out?,Êtes-vous sûr de vouloir vous déconnecter?,"Sind Sie sicher, dass Sie sich abmelden möchten?",Sei sicuro di voler uscire?,Çıkış yapmak istediğinize emin misiniz?,¿Estás seguro de que quieres cerrar sesión?
please_select_subject	,,,,Please select subject,Veuillez sélectionner le sujet,Bitte wählen Sie Betreff,Seleziona Oggetto,Lütfen konu seçin,Seleccione sujeto
s_min,"historyDetailsLabelTotalUsageMinDescription, historyDetailsLabelTotalUsageMinDescription, chargeInfoCardsLabelMin",,,%s min,% s min,%s min,%s min,%s dk,%s min
no_show,,,,No Show,Pas de spectacle,Keine Show,Nessuno spettacolo,Gösteri Yok,Sin espectáculo
average_power_price_unit,,,,Average Power Price/Unit,Prix ​​/ unité de puissance moyen,Durchschnittlicher Strompreis/Einheit,Prezzo/unità di potenza medio,Ortalama güç fiyatı/birimi,Precio de energía promedio/unidad
fixed_service_fee,,,,Fixed service fee,Frais de service fixes,Fixes Servicegebühr,Commissione di servizio fissa,Sabit Hizmet Ücreti,Tarifa de servicio fija
per_service,,,,/service,/un service,/Service,/servizio,/hizmet,/Servicio
electric_fee,,,,Electric fee,Frais électriques,Elektrische Gebühr,Commissione elettrica,Elektrik ücreti,Tarifa eléctrica
per_kwh,,,,/kWh,/ kWh,/kWh,/kWh,/kwh,/kWh
minimum_fee,,,,Minimum fee,Frais minimum,Mindestgebühr,Commissione minima,Asgari ücret,Tarifa mínima
close,,,,Close,proche,Schließen,Chiudere,Kapat,Cerrar
upcoming_bookings,,,,Upcoming Bookings,Réservations à venir,Begleite Buchungen,Premono le prenotazioni,Yaklaşan rezervasyonlar,Próximas reservas
mandatory_to_indicate_the_cardholder_name,,,,Mandatory to indicate the cardholder name.,Obligatoire pour indiquer le nom du titulaire de la carte.,"Obligatorisch, um den Namen des Karteninhabers anzuzeigen.",Obbligatorio per indicare il nome del titolare della carta.,Kart sahibi adını belirtmek için zorunlu.,Obligatorio para indicar el nombre del titular de la tarjeta.
invalid_expiry_date,,,,Invalid Expiry date,Date d'expiration non valide,Ungültiges Ablaufdatum,Data di scadenza non valida,Geçersiz son kullanma tarihi,Fecha de vencimiento no válida
to_continue_you_must_read_and_accept_the_online_sales_agreement,,,,"To continue, you must read and accept the Online Sales Agreement.","Pour continuer, vous devez lire et accepter l'accord de vente en ligne.","Um fortzufahren, müssen Sie den Online -Verkaufsvertrag lesen und akzeptieren.","Per continuare, è necessario leggere e accettare l'accordo di vendita online.",Devam etmek için çevrimiçi satış sözleşmesini okumalı ve kabul etmelisiniz.,"Para continuar, debe leer y aceptar el acuerdo de venta en línea."
install_maps_application,,,,Please install a maps application,Veuillez installer une application MAPS,Bitte installieren Sie eine Kartenanwendung,Si prega di installare un'applicazione Maps,Lütfen bir harita uygulaması yükleyin,Instale una aplicación de mapas
bookings_list_date_format,,,,dd/MM/yyyy HH:mm,dd / mm / yyyy hh: mm,DD/mm/YJJ HH: MM,DD/MM/YYYY HH: MM,dd/mm/yyyy hh: mm,dd/mm/aaa yyy hh: mm
qr_booking_slot_confirmation_format,,,,dd MMM yyyy hh:mm a,dd mmm yyyy hh: mm a,dd mmm yjyy hh: mm a,dd mmm yyyy hh: mm a,dd mmm yyyy hh: mm a,dd mmm yyyy hh: mm a
please_enter_a_card_name,,,,Please enter a card name.,Veuillez saisir un nom de carte.,Bitte geben Sie einen Kartennamen ein.,Si prega di inserire un nome di carta.,Lütfen bir kart adı girin.,Ingrese un nombre de tarjeta.
please_sign_in_to_access_your_recent,,,,Please sign in to access your recent,Veuillez vous connecter pour accéder à votre récent,"Bitte melden Sie sich an, um auf Ihre letzte Zugriffe zu erhalten",Accedi per accedere al tuo recente,Son zamanlarda erişmek için lütfen oturum açın,Inicie sesión para acceder a su reciente
please_sign_in_to_access_this_feature,,,,Please sign in to access this feature,Veuillez vous connecter pour accéder à cette fonctionnalité,"Bitte melden Sie sich an, um auf diese Funktion zuzugreifen",Accedi per accedere a questa funzione,Lütfen bu özelliğe erişmek için oturum açın,Inicie sesión para acceder a esta función
your_booking_is_confirmed_from_s_to_s,,,,Your booking is confirmed from %1$s to %2$s,Votre réservation est confirmée de% 1 $ s à% 2 $ s,Ihre Buchung wird von %1 $ s bis %2 $ s bestätigt,La tua prenotazione è confermata da %1 $ s a %2 $ s,Rezervasyonunuz %1 $ S ila %2 $ s ile onaylandı,Su reserva se confirma de %1 $ s a %2 $ s
star,,,,*,*,*,*,*,*
force_update_url,,,,https://us-central1-zorlu-zes-464d3.cloudfunctions.net/forceUpdate,https://us-central1-zorlu-zes-464d3.cloudfunctions.net/forceupdate,https://us-central1-zorlu-zes-464d3.cloudfunctions.net/forceupdate,https://us-central1-zorlu-zes-464d3.cloudfunctions.net/forceupdate,https://us-central1-zorlu-zes-464d3.cloudfunctions.net/forceupdate,https://us-central1-zorlu-zes-464d3.cloudfunctions.net/forceupdate
thank_you_for_choosing_us_have_a_good_journey,,,,Thank you for choosing us. Have a good journey,Merci de nous avoir choisi. Bon voyage,"Danke, daß Sie uns gewählt haben. Eine gute Reise haben",Grazie per averci scelto. Avere un buon viaggio,Bizi tercih ettiğiniz için teşekkürler. İyi geziler,Gracias por elegirnos. Que tengas un buen viaje
account_not_created_please_try_again,,,,Account not created / Please try again.,Compte non créé / veuillez réessayer.,Konto nicht erstellt / bitte versuchen Sie es erneut.,Account non creato / riprova.,Hesap oluşturulmadı / Lütfen tekrar deneyin.,Cuenta no creada / Vuelva a intentarlo.
success,,,,Success,Succès,Erfolg,Successo,Başarı,Éxito
amex_can_use_only_mr	,,,,Amex Can Use Only MR,Amex peut utiliser uniquement MR,Amex kann nur MR verwenden,Amex può usare solo MR,Amex sadece mr kullanabilir,Amex solo puede usar Mr Mr
please_try_again_after_a_while,,,,Please try again after a while,Veuillez réessayer après un moment,Bitte versuchen Sie es nach einer Weile erneut,Si prega di riprovare dopo un po ',Lütfen bir süre sonra tekrar deneyin,Vuelva a intentarlo después de un rato
average_power,historyDetailsLabelAvaragePower,,,Average Power,Puissance moyenne,Durchschnittsleistung,Potenza media,Ortalama güç,Energía promedio
payment_failed_your_credit_card_has_been_blocked_by_your_bank_please_contact_your_bank,,,,Payment failed.Your credit card has been blocked by your bank. Please contact your bank.,Le paiement a échoué. Votre carte de crédit a été bloquée par votre banque. Veuillez contacter votre banque.,Zahlung fehlgeschlagen. Ihre Kreditkarte wurde von Ihrer Bank blockiert. Bitte wenden Sie sich an Ihre Bank.,Pagamento non riuscito. La tua carta di credito è stata bloccata dalla tua banca. Si prega di contattare la tua banca.,Ödeme başarısız oldu. Kredi kartınız bankanız tarafından engellendi. Lütfen bankanızla iletişime geçin.,El pago falló. Su tarjeta de crédito ha sido bloqueada por su banco. Póngase en contacto con su banco.
your_booking_has_cancelled,,,,Your booking has been cancelled,Votre réservation a été annulée,Ihre Buchung wurde abgesagt,La tua prenotazione è stata annullata,Rezervasyonunuz iptal edildi,Tu reserva ha sido cancelada
your_reservation_time_has_arrived,,,,Your reservation time has arrived,Votre temps de réservation est arrivé,Ihre Reservierungszeit ist angekommen,Il tuo tempo di prenotazione è arrivato,Rezervasyon süreniz geldi,Ha llegado su tiempo de reserva
payment_failed_your_credit_card_is_not_permitted_please_contact_your_bank,,,,Payment failed.Your credit card is not permitted. Please contact your bank.,Le paiement a échoué. Votre carte de crédit n'est pas autorisée. Veuillez contacter votre banque.,Zahlung fehlgeschlagen. Ihre Kreditkarte ist nicht zulässig. Bitte wenden Sie sich an Ihre Bank.,Pagamento non è consentito la tua carta di credito. Si prega di contattare la tua banca.,Ödeme başarısız oldu. Kredi kartınıza izin verilmiyor. Lütfen bankanızla iletişime geçin.,El pago falló. No está permitida su tarjeta de crédito. Póngase en contacto con su banco.
charge_start_date,historyDetailsLabelChargeStartDate,,,Charge Start Date,Date de début de charge,Startdatum für Gebühren,Data di inizio addebito,Ücret başlangıç ​​tarihi,Fecha de inicio de carga
charge_end_date,historyDetailsLabelChargeEndDate,,,Charge End Date,Date de fin de charge,Gebührenddatum,Data di fine addebito,Ücret bitiş tarihi,Fecha de finalización de carga
if_you_do_not_unplug_your_vehicle_until_the_charge_end_time_penalty_will_be,startChargingLabelInfo,,,"If you do not unplug your vehicle until the charge end time, penalty will be applied.","Si vous ne débranchez pas votre véhicule jusqu'à l'heure de fin de charge, la pénalité sera appliquée.","Wenn Sie Ihr Fahrzeug erst in die Endzeit des Gebührs ziehen, wird die Strafe angewendet.","Se non scolleghi il veicolo fino all'ora di fine addebito, verrà applicata la penalità.","Aracınızı şarj bitene kadar çıkarmazsanız, ceza uygulanacaktır.","Si no desenchufa su vehículo hasta la hora de finalización de la carga, se aplicará la penalización."
payment_failed_your_bank_could_not_be_contacted_please_try_again_later,,,,Payment failed.Your bank could not be contacted. Please try again later.,Le paiement a échoué. Votre banque n'a pas pu être contactée. Veuillez réessayer plus tard.,Zahlung fehlgeschlagen. Ihre Bank konnte nicht kontaktiert werden. Bitte versuchen Sie es später erneut.,Pagamento non è stato possibile contattare la tua banca. Per favore riprova più tardi.,Ödeme başarısız oldu. Bankanızla iletişime geçilemedi. Lütfen daha sonra tekrar deneyiniz.,"El pago falló. No se pudo contactar a su banco. Por favor, inténtelo de nuevo más tarde."
all_of_your_pending_payments_have_been_successfully_completed_your_status_has_been_changed_to_active,,,,All of your pending payments have been successfully completed. Your status has been changed to Active.,Tous vos paiements en attente ont été achevés avec succès. Votre statut a été changé en actif.,Alle Ihre ausstehenden Zahlungen wurden erfolgreich abgeschlossen. Ihr Status wurde in aktiv geändert.,Tutti i pagamenti in sospeso sono stati completati con successo. Il tuo stato è stato cambiato in attivo.,Bekleyen tüm ödemeleriniz başarıyla tamamlandı. Durumunuz etkin olarak değiştirildi.,Todos sus pagos pendientes se han completado con éxito. Su estado se ha cambiado a activo.
bank_not_found_make_sure_you_have_entered_your_payment_details_correctly,,,,Bank not found. Make sure you have entered your payment details correctly.,Banque introuvable. Assurez-vous que vous avez correctement saisi vos détails de paiement.,"Bank nicht gefunden. Stellen Sie sicher, dass Sie Ihre Zahlungsdaten korrekt eingegeben haben.",Banca non trovata. Assicurati di aver inserito correttamente i dettagli del pagamento.,Banka bulunamadı. Ödeme ayrıntılarınızı doğru girdiğinizden emin olun.,Banco no encontrado. Asegúrese de haber ingresado sus detalles de pago correctamente.
charge_and_booking_information,,,,Charge and Booking Information,Informations sur la charge et la réservation,Informationen zum Aufladen und Buchung von Buchung,Informazioni di addebito e prenotazione,Ücret ve rezervasyon bilgileri,Información de carga y reserva
charging_not_started_your_booking_was_at_0,,,,Charging not started. Your booking was at %s,La charge n'est pas commencée. Votre réservation était à% s,Lading nicht begann. Ihre Buchung war bei %s,Carica non avviata. La tua prenotazione era in %s,Şarj başlatılmadı. Rezervasyonunuz %s idi,La carga no se inicia. Tu reserva estaba en %s
citizenship_id_number,,,,Citizenship ID number *,Numéro d'identification de la citoyenneté *,Staatsbürgerschaftsnummer *,Numero ID cittadinanza *,Vatandaşlık Kimlik Numarası *,Número de identificación de ciudadanía *
complaint,,d,,Complaint,Plainte,Beschwerde,Rimostranza,Şikayet,Queja
confirm_password,,,,Confirm Password,Confirmez le mot de passe,Bestätige das Passwort,Conferma password,Şifreyi Onayla,confirmar Contraseña
connector_type,historyDetailsLabelConnectorType,,,Connector Type,Type de connecteur,Anschlusstyp,Tipo di connettore,Bağlayıcı tipi,tipo de conector
dc_ccs,,,,DC CCS,DC CCS,DC CCS,DC CCS,DC CCS,DC CCS
forget_your_password,,,,Forgot Your Password,Mot de passe oublié,Haben Sie Ihr Passwort vergessen,Hai dimenticato la password,Parolanızı mı unuttunuz,Olvidaste tu contraseña
house_apartment,myDetailsLabelTitleHouse,,,House/Apartment*,Maison / appartement *,Haus/Wohnung*,Casa/appartamento*,Ev/daire*,Casa/apartamento*
incorrect_phone_number_or_password,,,,Incorrect Phone Number or Password,Numéro de téléphone ou mot de passe incorrect,Falsche Telefonnummer oder Passwort,Numero di telefono o password errato,Yanlış telefon numarası veya şifre,Número de teléfono o contraseña incorrectos
info,,,,Info,Info,Die Info,Informazioni,Bilgi,Información
invalid_cvv,,,,Invalid CVV,CVV non valide,Ungültiges CVV,CVV non valido,Geçersiz CVV,CVV no válido
invalid_e_mail_make_sure_that_you_entered_your_e_mail_address_correctly,,,,Invalid e-mail. Make sure that you entered your e-mail address correctly.,Email invalide. Assurez-vous que vous avez correctement entré votre adresse e-mail.,"Ungültige E-Mail. Stellen Sie sicher, dass Sie Ihre E-Mail-Adresse richtig eingegeben haben.",E-mail non valido. Assicurati di inserire correttamente il tuo indirizzo e-mail.,Geçersiz e-posta. E-posta adresinizi doğru şekilde girdiğinizden emin olun.,Email inválido. Asegúrese de ingresar su dirección de correo electrónico correctamente.
invalid_operation,,,,Invalid Operation,Opération invalide,Ungültige Operation,Operazione non valida,Geçersiz işlem,Operación inválida
invalid_phone_number,,,,Invalid phone number,Numéro de téléphone invalide,Ungültige Telefonnummer,Numero di telefono invalido,Geçersiz telefon numarası,Numero de telefono invalido
invalid_pin_make_sure_that_you_entered_pin_correctly,,,,Invalid PIN Make sure that you entered Pin correctly.,PIN non valide Assurez-vous que vous avez entré correctement la broche.,"Ungültiger PIN stellen Sie sicher, dass Sie die PIN richtig eingegeben haben.",Pin non valido Assicurati di inserire correttamente il pin.,Geçersiz pim PIN'i doğru girdiğinizden emin olun.,Pin no válido Asegúrese de ingresar el PIN correctamente.
invoice_information,,,,Invoice Information,Informations sur la facture,Rechnungsinformationen,Informazioni sulla fattura,Fatura bilgisi,Información de la factura
iyzico_payment_error_info,,,,Iyzico(Payment) Error Info,Informations d'erreur Iyzico (paiement),Iyzico (Zahlung) Fehlerinformationen,Iyzico (pagamento) Informazioni di errore,IYZICO (Ödeme) Hata Bilgisi,Iyzico (pago) Información de error
lastName,,,,Last Name *,Nom de famille *,"Familienname, Nachname *",Cognome *,Soyadı *,Apellido *
make_sure_that_you_entered_your_phone_number_correctly,,,,Make sure that you entered your phone number correctly.,Assurez-vous que vous avez entré correctement votre numéro de téléphone.,"Stellen Sie sicher, dass Sie Ihre Telefonnummer richtig eingegeben haben.",Assicurati di inserire correttamente il tuo numero di telefono.,Telefon numaranızı doğru girdiğinizden emin olun.,Asegúrese de ingresar a su número de teléfono correctamente.
my_booking_details,,,,My Booking Details,Mes détails de réservation,Meine Buchungsdetails,I miei dettagli di prenotazione,Rezervasyon detaylarım,Mis detalles de reserva
next_upcoming_booking_is_at_0,,,,Next upcoming booking is at %s,La prochaine réservation à venir est à% s,Die nächste bevorstehende Buchung ist bei %s,La prossima prenotazione imminente è in %s,Sonraki yaklaşan rezervasyon %s'de,La próxima reserva es en %s
no_account_found_for_this_phone_number_or_the_password_is_incorrect_make_sure_your_information_is_correct_and_try_again,,,,No account found for this phone number or the password is incorrect. Make sure your information is correct and try again.,Aucun compte trouvé pour ce numéro de téléphone ou le mot de passe n'est incorrect. Assurez-vous que vos informations sont correctes et réessayez.,"Kein Konto für diese Telefonnummer oder das Passwort ist falsch. Stellen Sie sicher, dass Ihre Informationen korrekt sind und versuchen Sie es erneut.",Nessun account trovato per questo numero di telefono o la password non è corretto. Assicurati che le tue informazioni siano corrette e riprova.,Bu telefon numarası veya şifre için hiçbir hesap bulunamadı. Bilgilerinizin doğru olduğundan emin olun ve tekrar deneyin.,Ninguna cuenta encontrada para este número de teléfono o la contraseña es incorrecta. Asegúrese de que su información sea correcta y vuelva a intentarlo.
not_permitted_to_foreign_card,,,,Not Permitted To Foreign Card,Pas autorisé à la carte étrangère,Nicht der Auslandskarte gestattet,Non autorizzato alla carta estera,Yabancı karta izin verilmiyor,No se le permite una tarjeta extranjera
not_permitted_to_installment,,,,Not Permitted To Installment,Pas autorisé à verser,Nicht raten,Non consentito per la rata,Taksite izin verilmiyor,No se le permite la entrega
operation_failed,,,,Operation failed,L'opération a échoué,Operation fehlgeschlagen,Operazione fallita,Operasyon başarısız,Operación fallida
payment_completed_successfully,,,,Payment completed successfully.,Le paiement terminé avec succès.,Zahlung erfolgreich abgeschlossen.,Pagamento completato con successo.,Ödeme başarıyla tamamlandı.,Pago completado con éxito.
payment_declined,,,,Payment declined.,Paiement refusé.,Zahlung abgelehnt.,Pagamento rifiutato.,Ödeme Reddedildi.,Pago rechazado.
